0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2472,2246,88,170,504,552,522,530,17,55,130,103,75,56,3,20,57,99,81,55,8,30,50,43,4,5,6,5,5,8,7,6,5,5,6,6,6,6,131,109,105,118,127,106,383,387,329,300,hand_press
2507,2295,108,127,477,512,494,511,42,99,163,121,90,97,36,73,98,134,108,79,36,75,87,63,28,35,48,67,73,19,23,4,19,50,28,46,33,4,169,180,151,131,96,82,230,232,197,180,hand_press
1659,1538,90,111,353,380,353,364,74,85,134,123,83,104,40,78,108,146,122,95,90,134,132,88,58,26,111,150,127,92,97,25,63,100,75,93,83,47,684,707,582,901,1695,49,551,308,492,108,hand_press
995,923,54,66,218,262,231,243,83,78,112,125,91,87,43,91,110,132,112,83,103,151,142,130,90,60,151,112,113,113,100,47,59,114,99,98,112,91,1114,1185,1217,1763,2655,773,1263,1356,1531,1283,hand_press
597,553,32,84,169,204,171,175,50,47,71,90,69,67,26,73,84,105,92,71,62,90,85,84,54,47,108,105,111,121,100,49,35,100,99,93,119,139,1232,1283,1197,1613,2685,1256,1738,2042,2291,2408,hand_press
358,332,19,83,136,168,135,140,30,28,42,54,41,40,15,43,50,63,55,43,37,54,55,64,38,51,71,63,66,72,60,38,21,60,59,56,71,115,1101,1137,1020,1267,1898,1001,1717,1903,1955,2023,hand_press
215,199,11,50,81,100,81,84,18,17,25,32,25,24,9,26,30,37,33,25,22,32,33,38,23,30,42,37,40,43,36,22,12,36,35,33,43,69,893,949,823,983,1355,830,1724,1840,1761,1673,hand_press
1472,1324,6,39,266,239,210,223,55,10,45,54,43,45,5,15,18,22,19,15,13,19,19,23,13,18,25,22,24,26,21,13,7,21,21,20,25,41,536,569,494,590,813,498,1034,1104,1056,1004,hand_press
2208,2083,254,326,159,143,126,134,33,19,27,32,26,31,3,9,10,20,19,9,8,11,11,14,8,11,15,13,14,15,12,8,4,12,12,12,15,24,321,341,296,354,487,298,620,662,634,602,hand_press
2892,2651,330,419,511,515,495,394,54,11,22,19,15,18,2,5,8,14,11,8,4,7,7,12,5,6,9,8,15,24,7,14,2,7,7,8,9,14,193,205,177,212,292,179,372,397,380,361,hand_press
3308,2973,388,488,720,731,696,640,32,31,115,58,44,68,3,39,51,62,60,67,16,45,43,63,19,4,5,26,38,38,19,21,20,63,51,28,5,8,120,123,106,127,176,109,405,426,374,315,hand_press
2290,2050,238,312,502,514,480,467,73,98,142,106,84,54,44,87,88,41,36,46,54,82,89,114,80,64,74,98,106,42,23,12,95,135,112,107,44,5,72,73,64,76,105,65,382,408,346,279,hand_press
1374,1230,157,188,321,350,309,303,44,76,112,95,67,63,31,77,85,73,64,73,75,113,118,151,118,113,126,155,160,134,104,8,125,173,145,111,111,67,315,821,678,630,627,55,398,762,876,1230,hand_press
824,738,94,113,209,236,199,213,115,74,99,108,78,81,18,65,76,72,55,52,51,93,99,138,100,110,75,112,128,100,81,37,112,129,119,114,156,144,961,1355,1329,1572,1882,800,1280,1853,1981,2195,hand_press
494,442,56,70,146,160,125,144,69,74,91,65,47,49,11,39,46,44,33,40,31,56,68,102,73,81,135,77,76,61,55,27,67,100,84,103,114,110,687,949,933,1100,1304,664,960,1649,1888,2352,hand_press
296,265,33,42,88,96,75,86,41,44,55,39,28,29,6,23,27,26,20,24,18,33,41,61,43,48,81,46,46,37,33,16,40,92,82,85,103,115,669,853,791,888,1002,626,1299,1704,1730,1936,hand_press
576,540,20,30,124,121,102,121,25,26,33,23,16,17,4,14,16,15,12,14,11,20,24,36,26,29,48,28,27,22,20,9,24,55,49,51,61,69,401,512,475,533,601,376,1110,1360,1308,1437,hand_press
1516,1443,96,152,376,393,61,72,15,16,19,16,10,25,2,8,9,9,7,8,6,12,14,22,15,17,29,16,16,13,12,5,14,33,29,30,37,41,241,307,285,319,360,225,666,816,785,862,hand_press
2427,2235,191,277,597,624,411,190,9,9,33,9,6,15,1,5,5,5,4,5,4,7,8,19,9,10,17,10,9,8,7,3,8,20,17,18,22,24,144,184,171,191,216,135,399,489,471,517,hand_press
3050,2749,284,389,743,763,617,484,5,43,112,108,88,88,0,17,39,59,54,3,2,10,5,28,5,6,10,6,5,4,4,2,5,12,11,17,13,14,86,110,102,115,129,81,239,293,282,310,hand_press
2262,2055,196,289,555,583,498,412,68,116,149,113,89,77,73,96,102,122,126,72,66,102,84,103,79,55,78,96,72,64,64,72,61,85,72,86,79,107,648,655,523,511,461,388,807,775,673,669,hand_press
1453,1309,170,197,367,399,337,297,64,102,132,126,91,95,52,84,103,135,122,78,116,158,143,64,47,33,130,153,129,130,120,57,93,117,99,102,109,104,965,989,801,1379,1439,1704,1973,2103,2042,2039,hand_press
872,785,105,118,220,239,223,197,45,61,79,82,54,67,48,85,104,121,100,94,107,151,143,82,69,67,101,156,167,153,144,111,148,179,167,164,186,210,1268,1298,1198,1721,2214,2381,2671,2900,2863,1351,hand_press
523,471,63,71,132,155,136,119,27,37,47,53,32,40,28,61,86,105,84,100,64,103,107,69,49,46,109,164,168,149,142,110,99,139,134,146,180,214,1344,1374,1220,1775,2632,2447,2991,3378,3355,2448,hand_press
314,282,38,43,79,93,82,71,16,22,28,32,19,24,17,36,52,69,62,60,64,61,64,49,31,27,65,98,100,96,85,66,168,133,134,136,153,184,1186,1219,1061,1401,1893,1750,2503,2744,2564,2020,hand_press
188,169,22,25,47,56,49,42,9,13,17,19,11,14,10,22,31,41,37,36,38,37,38,29,19,16,39,59,60,57,51,39,100,79,80,81,91,129,923,930,800,1028,1323,1196,2196,2357,2118,1794,hand_press
1463,1325,13,15,206,176,161,158,5,8,12,28,21,13,6,13,18,24,22,21,23,22,23,17,11,9,23,35,36,34,30,23,60,47,48,49,55,77,553,558,480,617,793,718,1317,1414,1271,1076,hand_press
2428,2180,8,128,436,438,411,299,3,20,76,86,65,56,3,7,11,21,17,36,13,13,13,17,6,5,14,21,21,20,18,14,36,28,29,29,33,46,332,334,288,370,476,430,790,848,762,646,hand_press
